Seq_id	Size	Description
1	1087316	scaffold_1
2	1087316	scaffold_1
3	1048610	scaffold_2
4	1045751	scaffold_3
5	1034232	scaffold_4
6	1021499	scaffold_5
7	1008552	scaffold_6
8	962643	scaffold_7
9	956989	scaffold_8
10	947474	scaffold_9
11	934921	scaffold_10
12	886118	scaffold_11
13	850182	scaffold_12
14	827694	scaffold_13
15	827041	scaffold_14
16	819560	scaffold_15
17	816764	scaffold_16
18	786118	scaffold_17
19	774406	scaffold_18
20	766813	scaffold_19
21	760496	scaffold_20
22	751534	scaffold_21
23	729934	scaffold_22
24	723720	scaffold_23
25	719936	scaffold_24
26	712138	scaffold_25
27	698299	scaffold_26
28	690661	scaffold_27
29	687549	scaffold_28
30	687296	scaffold_29
31	674821	scaffold_30
32	671881	scaffold_31
33	667798	scaffold_32
34	666608	scaffold_33
35	660068	scaffold_34
36	642070	scaffold_35
37	641914	scaffold_36
38	639950	scaffold_37
39	625073	scaffold_38
40	615610	scaffold_39
41	614653	scaffold_40
42	614383	scaffold_41
43	605570	scaffold_42
44	600374	scaffold_43
45	593230	scaffold_44
46	593167	scaffold_45
47	590258	scaffold_46
48	590255	scaffold_47
49	589086	scaffold_48
50	586928	scaffold_49
51	585994	scaffold_50
52	578006	scaffold_51
53	576107	scaffold_52
54	563299	scaffold_53
55	557475	scaffold_54
56	556963	scaffold_55
57	553390	scaffold_56
58	543439	scaffold_57
59	541074	scaffold_58
60	539912	scaffold_59
61	537224	scaffold_60
62	533496	scaffold_61
63	528316	scaffold_62
64	527111	scaffold_63
65	526492	scaffold_64
66	523400	scaffold_65
67	519324	scaffold_66
68	508857	scaffold_67
69	505447	scaffold_68
70	504051	scaffold_69
71	502856	scaffold_70
72	500788	scaffold_71
73	498752	scaffold_72
74	495999	scaffold_73
75	489428	scaffold_74
76	481063	scaffold_75
77	478225	scaffold_76
78	477479	scaffold_77
79	477184	scaffold_78
80	476919	scaffold_79
81	475770	scaffold_80
82	473699	scaffold_81
83	473049	scaffold_82
84	472686	scaffold_83
85	471965	scaffold_84
86	465411	scaffold_85
87	461699	scaffold_86
